date,symbol,last_price_at_open,avg_vol_14d,atr_14d,rvol_first_candle,or_high,or_low,or_range,or_range_pct_of_price,first_candle_close_color,direction_bias,status,entry_time_et,entry_price,stop_price,stop_style,target_price,target_r_multiple,shares,risk_dollars,risk_pct_equity,exit_time_et,exit_price,realized_pnl,r_multiple_realized,reason_pass_fail,notes
2026-09-10,ALAB,287.00,3242484,24.06,1.730,290.9400,283.0701,7.8699,2.77%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(moderate-body_45pct_of_range);RANGE_OVERSIZED(2.77%>1.5% cap - halve size if triggers),"market_scan; top-mover -4.51% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,NBIS,230.01,15494878,18.53,2.900,238.3300,230.7900,7.5400,3.20%,green,long,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(moderate-body_52pct_of_range);RANGE_OVERSIZED(3.20%>1.5% cap - halve size if triggers),"market_scan; top-mover -4.30% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,ARM,252.89,3612778,16.30,2.550,255.0000,251.2900,3.7100,1.48%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(weak-body_19pct_of_range);range_ok,"market_scan; top-mover -4.29% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,WDC,462.18,5484443,32.07,1.810,467.9800,457.1100,10.8700,2.37%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(strong-body_79pct_of_range);RANGE_OVERSIZED(2.37%>1.5% cap - halve size if triggers),"market_scan; top-mover -4.17% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,CIEN,324.77,2308471,25.34,1.300,341.9750,328.3584,13.6166,4.03%,green,long,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(moderate-body_40pct_of_range);RANGE_OVERSIZED(4.03%>1.5% cap - halve size if triggers),"market_scan; top-mover -3.91% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,MRVL,226.00,24828863,15.45,1.700,232.8000,228.0000,4.8000,2.10%,green,long,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(weak-body_4pct_of_range);RANGE_OVERSIZED(2.10%>1.5% cap - halve size if triggers),"market_scan; top-mover -3.83% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,TER,369.00,2194019,22.21,1.450,373.2236,366.3050,6.9186,1.88%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(moderate-body_56pct_of_range);RANGE_OVERSIZED(1.88%>1.5% cap - halve size if triggers),"market_scan; top-mover -3.83% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,KLAC,175.98,8808541,9.12,2.040,177.2400,174.6950,2.5450,1.45%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(moderate-body_38pct_of_range);range_ok,"market_scan; top-mover -3.79% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,LRCX,304.00,6814692,15.73,1.350,307.0300,302.1450,4.8850,1.61%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(weak-body_7pct_of_range);RANGE_OVERSIZED(1.61%>1.5% cap - halve size if triggers),"market_scan; top-mover -3.75% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,AMAT,451.97,6211662,22.43,1.930,459.2700,453.4200,5.8500,1.28%,green,long,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(weak-body_16pct_of_range);range_ok,"market_scan; top-mover -3.60% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,STX,854.83,3182003,55.34,1.460,862.6800,853.5500,9.1300,1.07%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(moderate-body_49pct_of_range);range_ok,"market_scan; top-mover -3.51% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,COHR,292.89,5469435,23.03,1.250,298.7684,290.2600,8.5084,2.85%,green,long,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(moderate-body_36pct_of_range);RANGE_OVERSIZED(2.85%>1.5% cap - halve size if triggers),"market_scan; top-mover -3.49% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,TSEM,209.18,1273605,14.78,1.260,213.7100,208.8620,4.8480,2.31%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(weak-body_24pct_of_range);RANGE_OVERSIZED(2.31%>1.5% cap - halve size if triggers),"market_scan; top-mover -3.41% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,BE,260.30,13369856,19.52,1.850,269.7609,259.3497,10.4112,3.92%,green,long,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(moderate-body_54pct_of_range);RANGE_OVERSIZED(3.92%>1.5% cap - halve size if triggers),"market_scan; top-mover -3.33% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,LITE,956.00,4010847,68.97,2.390,970.0000,951.1400,18.8600,1.97%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(weak-body_9pct_of_range);RANGE_OVERSIZED(1.97%>1.5% cap - halve size if triggers),"market_scan; top-mover -3.33% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,MU,994.29,25177480,53.75,3.250,997.4600,982.1400,15.3200,1.55%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(moderate-body_59pct_of_range);RANGE_OVERSIZED(1.55%>1.5% cap - halve size if triggers),"market_scan; top-mover -3.26% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,CLS,323.03,2132181,19.77,0.630,,,,,,,skipped,,,,,,,,,,,,,,fail_rvol(63%<100%),"market_scan; top-mover -3.17% vs prior close, awaiting 09:30-09:35 ET OR candle"
2026-09-10,SOXX,516.29,7178562,17.56,1.820,520.8500,515.9100,4.9400,0.96%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(moderate-body_36pct_of_range);range_ok,"market_scan; top-mover -2.95% vs prior close, awaiting 09:30-09:35 ET OR candle"
