date,symbol,last_price_at_open,avg_vol_14d,atr_14d,rvol_first_candle,or_high,or_low,or_range,or_range_pct_of_price,first_candle_close_color,direction_bias,status,entry_time_et,entry_price,stop_price,stop_style,target_price,target_r_multiple,shares,risk_dollars,risk_pct_equity,exit_time_et,exit_price,realized_pnl,r_multiple_realized,reason_pass_fail,notes
2026-09-24,ABT,103.4100,9140611,2.2500,0.1279,104.2200,103.2500,0.9700,0.9380%,green,long,expired,,,,,,,,,,,,,,PASS universe filters (watchlist),"RVOL_BELOW_THRESHOLD(rvol=0.13); BIAS_INVALIDATED - closed beyond opposite OR level, still watching for correct-direction reversal before 11:00 ET cutoff; entry cutoff 11:00 ET reached with no reversal from BIAS_INVALIDATED"
2026-09-24,CMPS,13.7500,3042258,0.9299,3.9792,13.7600,13.4100,0.3500,2.5455%,red,short,triggered_no_capital,09:40,13.3000,13.7600,full_range,12.6100,1.5,0,0,0%,,,,,PASS universe filters (watchlist),"RANGE_OVERSIZED(2.55%) - halve size if triggers; body-close confirmed breakout 09:40 ET; NO CAPITAL - signal only, not executed"
2026-09-24,FCEL,16.5100,6679434,1.3332,2.2365,16.5400,16.0100,0.5300,3.2102%,red,short,expired,,,,,,,,,,,,,,PASS universe filters (watchlist),"RANGE_OVERSIZED(3.21%) - halve size if triggers; BIAS_INVALIDATED - closed beyond opposite OR level, still watching for correct-direction reversal before 11:00 ET cutoff; entry cutoff 11:00 ET reached with no reversal from BIAS_INVALIDATED"
2026-09-24,GME,24.0779,9695421,0.8398,0.5079,24.0645,23.8700,0.1945,0.8078%,green,long,triggered_no_capital,09:40,24.0900,23.8700,full_range,24.4200,1.5,0,0,0%,,,,,PASS universe filters (watchlist),"RVOL_BELOW_THRESHOLD(rvol=0.51); body-close confirmed breakout 09:40 ET; NO CAPITAL - signal only, not executed"
2026-09-24,GOOGL,337.7800,27799266,9.1547,2.0011,338.3300,336.0201,2.3099,0.6838%,green,long,triggered_no_capital,09:35,338.7500,336.0201,full_range,342.8448,1.5,0,0,0%,,,,,PASS universe filters (watchlist),"; body-close confirmed breakout 09:35 ET; NO CAPITAL - signal only, not executed"
2026-09-24,LLY,1157.0000,2293970,31.6573,0.5953,1170.5590,1151.0127,19.5463,1.6894%,green,long,triggered_no_capital,09:35,1173.2500,1151.0127,full_range,1206.6060,1.5,0,0,0%,,,,,PASS universe filters (watchlist),"RVOL_BELOW_THRESHOLD(rvol=0.60); RANGE_OVERSIZED(1.69%) - halve size if triggers; body-close confirmed breakout 09:35 ET; NO CAPITAL - signal only, not executed"
2026-09-24,MRK,148.5300,10063511,3.2924,0.2437,149.9900,148.0200,1.9700,1.3263%,green,long,triggered_no_capital,09:35,150.3600,148.0200,full_range,153.8700,1.5,0,0,0%,,,,,PASS universe filters (watchlist),"RVOL_BELOW_THRESHOLD(rvol=0.24); body-close confirmed breakout 09:35 ET; NO CAPITAL - signal only, not executed"
2026-09-24,MSFT,498.1400,20649612,11.1024,2.4660,495.6800,491.7001,3.9799,0.7990%,red,short,triggered_no_capital,09:50,491.6950,495.6800,full_range,485.7175,1.5,0,0,0%,,,,,PASS universe filters (watchlist),"; body-close confirmed breakout 09:50 ET; NO CAPITAL - signal only, not executed"
2026-09-24,NOK,10.2300,99471352,0.5426,0.7783,10.2400,10.1701,0.0699,0.6833%,green,long,triggered_no_capital,09:35,10.3400,10.1701,full_range,10.5949,1.5,0,0,0%,,,,,PASS universe filters (watchlist),"RVOL_BELOW_THRESHOLD(rvol=0.78); body-close confirmed breakout 09:35 ET; NO CAPITAL - signal only, not executed"
2026-09-24,NVDA,222.4600,112347760,6.1446,1.7796,222.9900,221.0908,1.8992,0.8537%,red,short,expired,,,,,,,,,,,,,,PASS universe filters (watchlist),"; BIAS_INVALIDATED - closed beyond opposite OR level, still watching for correct-direction reversal before 11:00 ET cutoff; entry cutoff 11:00 ET reached with no reversal from BIAS_INVALIDATED"
